,0
1063,4534245020
1064,4533890477
1065,4533805747
1066,4532507183
1067,4532456217
1068,4532359535
1069,4532198655
1070,4527181542
1071,4527086457
1072,4527060586
1073,4526007463
1074,4525917207
1075,4525051356
1076,4524887530
1077,4524910246
1078,4524853452
1079,4523647554
1080,4523573877
1081,4523525570
1082,4523172440
1083,4522036043
1084,4520842769
1085,4520762940
1086,4520679400
1087,4518494972
1088,4518520827
1089,4518433385
1090,4518344253
1091,4518207959
1092,4518180707
1093,4518133574
1094,4518026574
1095,4517970493
1096,4517864978
1097,4517818559
1098,4517429658
1099,4517436179
1100,4567284652
1101,4567239976
1102,4567197561
1103,4567116819
1104,4567142963
1105,4567100518
1106,4566997888
1107,4567004527
1108,4567051508
1109,4566919294
1110,4566908317
1111,4566927375
1112,4566827497
1113,4566895380
1114,4564959823
1115,4564911426
1116,4564785290
1117,4564714797
1118,4564599171
1119,4564468705
1120,4564483775
1121,4564490574
1122,4564367213
1123,4564363727
1124,4564410079
1125,4563094159
1126,4563013765
1127,4562640148
1128,4562322852
1129,4561662502
1130,4561567527
1131,4561603697
1132,4561369856
1133,4561397031
1134,4561403422
1135,4561311234
1136,4560458437
1137,4560348152
1138,4559456505
1139,4559451303
1140,4559242723
1141,4557128544
1142,4557131764
1143,4556986702
1144,4554915744
1145,4554880152
1146,4554845512
1147,4554729649
1148,4552224219
1149,4552158840
1150,4552085983
1151,4548309540
1152,4548314204
1153,4548230869
1154,4547778859
1155,4547749525
1156,4547703870
1157,4547636059
1158,4547474416
1159,4547389571
1160,4547434714
1161,4547441763
1162,4547309350
1163,4547277335
1164,4546152229
1165,4545871143
1166,4545845142
1167,4545084104
1168,4544977567
1169,4544889755
1170,4544944624
1171,4544763514
1172,4544719123
1173,4543493474
1174,4543406692
1175,4543319814
1176,4543069055
1177,4543063986
1178,4543026222
1179,4542889353
1180,4542904132
1181,4542807510
1182,4542813197
1183,4542369786
1184,4542416047
1185,4541544104
1186,4541416749
1187,4541431266
1188,4540629239
1189,4540626079
1190,4540652028
1191,4540621029
1192,4540517726
1193,4538663522
1194,4538576559
1195,4536138818
1196,4536155119
1197,4536143896
1198,4536072628
1199,4534481869
1200,4566218161
1201,4566202226
1202,4566134628
1203,4566027070
1204,4565530642
1205,4555987367
1206,4555938759
1207,4555779891
1208,4555840518
1209,4555734291
1210,4554772109
1211,4554685420
1212,4554628976
1213,4554633766
1214,4553970971
1215,4553947409
